page,match,innings,category,discrepancy,numeric,sparseness
192,"Penang v Perak (March 30, 31 and April 1, 1929)",Penang inn 1,batting_total,"batting (121) + extras (16) = 137, but total is 136 (+1)",1,0.0
192,"Penang v Perak (March 30, 31 and April 1, 1929)",Perak inn 1,fow_ascending,"FOW not ascending: [11, 6, 39, 46, 46, 46, 94, 98, 111, 104]",,0.0
192,"Penang v Perak (March 30, 31 and April 1, 1929)",Perak inn 2,batting_total,"batting (108) + extras (9) = 117, but total is 111 (+6)",6,0.0
198,"Perak v Negeri Sembilan (June 29 and 30, 1929)",Negeri Sembilan inn 1,batting_total,"batting (159) + extras (12) = 171, but total is 180 (-9)",-9,0.05
198,"Perak v Negeri Sembilan (June 29 and 30, 1929)",Perak inn 2,batting_total,"batting (185) + extras (0) = 185, but total is 226 (-41)",-41,0.3
198,"Perak v Negeri Sembilan (June 29 and 30, 1929)",Negeri Sembilan inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 64 (-64)",-64,0.75
202,"Singapore v Selangor (April 19, 20 and 21, 1930)",Singapore inn 2,batting_total,"batting (234) + extras (7) = 241, but total is 246 (-5)",-5,0.0
205,"SELANGOR v PERAK (May 10 and 11, 1930)",SELANGOR inn 1,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
205,"SELANGOR v PERAK (May 10 and 11, 1930)",SELANGOR inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
206,"Penang v Kedah (May 10 and 11, 1930)",Kedah inn 2,batting_total,"batting (99) + extras (1) = 100, but total is 110 (-10)",-10,0.0
207,"NEGERI SEMBILAN v SINGAPORE (June 7, 8 and 9, 1930)",NEGERI SEMBILAN inn 1,batting_total,"batting (230) + extras (15) = 245, but total is 249 (-4)",-4,0.0
211,"PENANG v PERAK (April 20, 21 and 22, 1946)",PENANG inn 2,batting_total,"batting (102) + extras (2) = 104, but total is 102 (+2)",2,0.0
212,"NEGERI SEMBILAN v SINGAPORE (May 18 and 19, 1946)",NEGERI SEMBILAN inn 1,dismissal_wickets,SK Sundram: bowling says 0w but dismissals say 3w,-3,0.0
215,"PERAK v PENANG (April 5, 6 and 7, 1947)",PERAK inn 1,batting_total,"batting (107) + extras (3) = 110, but total is 115 (-5)",-5,0.0
